seed,d,kappa,theta,block,delta_t,lambda_min_symZ,gap_std,gap_acc
1,2,1.0,0.7853981633974483,26,3.584774602461544e-10,0.9999965928562192,6.315734345415751e-16,1.4527883265491527e-13
1,2,1.0,0.7853981633974483,27,2.0224454604046337e-10,0.9999968592583494,6.273255610023723e-16,1.1507791500751276e-13
1,2,1.0,0.7853981633974483,28,5.3563617775862e-09,0.9999985186512708,5.711362341653843e-16,2.4007420836831626e-14
1,2,1.0,0.7853981633974483,29,1.4848347697322416e-10,0.9999999976599652,2.0730684044773732e-16,7.621426683514027e-18
1,2,1.0,0.7853981633974483,30,3.4094738994315413e-10,0.9999999856656143,1.1460237324086966e-16,4.506287065435158e-15
1,2,1.0,0.7853981633974483,31,8.809251760982676e-10,0.9999999877607554,-5.1971380692347405e-17,3.5432050060486324e-15
1,2,1.0,0.7853981633974483,32,7.858517681518383e-09,0.9999999950640613,1.5504017447468196e-17,6.181993467872462e-16
1,2,1.0,0.7853981633974483,33,3.3271481357391526e-09,0.9999999704309807,4.086246997003274e-18,6.6201270335604246e-18
1,2,1.0,0.7853981633974483,34,2.4188702257829136e-09,1.0000000059998473,1.0759216809635424e-18,8.928406412430456e-16
1,2,1.0,0.7853981633974483,35,1.7941999372053205e-09,0.9999996953141328,2.7636300720792136e-19,5.576887026988281e-16
1,2,1.0,0.7853981633974483,36,6.71181376545935e-08,0.9999998521414928,6.856582815513302e-20,1.5039214900543422e-16
1,2,1.0,0.7853981633974483,37,6.227807477622288e-09,1.0000000064918577,1.5922674648586904e-18,1.1250938460670634e-18
1,2,1.0,0.7853981633974483,38,8.949468463294851e-09,1.0000000062411156,2.750217855434549e-20,1.1809117621915701e-16
1,2,1.0,0.7853981633974483,39,7.707910946013733e-09,0.9999999832876175,5.217821182784231e-19,5.974938811632435e-17
1,2,1.0,0.7853981633974483,40,0.0004986212901264654,1.0000000068919415,2.70175928870572e-21,4.278867252292577e-17
2,2,1.0,0.7853981633974483,1,0.0,1.1518221313987762,0.029127683590580433,0.029127683590580433
2,2,1.0,0.7853981633974483,2,8.173448979101695e-15,1.0839128312148374,0.0069042402766797545,0.006904240276679727
2,2,1.0,0.7853981633974483,3,6.354493055644313e-14,1.0375589048549057,0.0016830255936822955,0.0010616010273223134
2,2,1.0,0.7853981633974483,4,9.141315125359539e-14,1.0105269206763217,0.0004156096418854935,6.278552823068412e-05
2,2,1.0,0.7853981633974483,5,3.82449690599673e-14,0.9977414705898885,0.00010327282044861504,1.6910033713473174e-06
2,2,1.0,0.7853981633974483,6,2.460642310747195e-14,0.9941530584244614,2.574034310700527e-05,8.73203508114026e-06
2,2,1.0,0.7853981633974483,7,2.49133390580457e-13,0.9956633081367025,6.425404630432466e-06,3.756209815821126e-06
2,2,1.0,0.7853981633974483,8,8.371358679054965e-13,0.9983433261571314,1.6051247062620361e-06,4.409596072167026e-07
2,2,1.0,0.7853981633974483,9,2.271259864556024e-13,1.0001765204017636,4.011280801248735e-07,5.395984250947724e-09
2,2,1.0,0.7853981633974483,10,3.995680255264789e-13,1.0007484415466323,1.002628963248835e-07,7.984709514023214e-08
2,2,1.0,0.7853981633974483,11,6.826482209851533e-13,1.0006133704508495,2.5063334655622306e-08,4.565168432976762e-08
2,2,1.0,0.7853981633974483,12,3.6780982826147045e-12,1.0002544069819521,6.2655351178056255e-09,6.759980023695504e-09
2,2,1.0,0.7853981633974483,13,2.1435925883726364e-12,0.9999650157776315,1.566346469479671e-09,2.4420036424179252e-11
2,2,1.0,0.7853981633974483,14,2.0118348507984954e-12,0.9998594580679918,3.7082505678463643e-10,1.2359125991368144e-09
2,2,1.0,0.7853981633974483,15,4.4894070769936005e-12,0.9998426751590416,8.779180762693976e-11,4.4944752722330967e-10
2,2,1.0,0.7853981633974483,16,1.9234620883780012e-11,0.9999705604084154,2.0784638490055406e-11,1.4322084650003847e-11
2,2,1.0,0.7853981633974483,17,6.561266546286845e-12,1.0000214258765707,4.920754235041746e-12,2.350837378308244e-11
2,2,1.0,0.7853981633974483,18,1.5272319478222325e-11,1.0000266332072931,1.1649436497476208e-12,3.2713390759567685e-11
2,2,1.0,0.7853981633974483,19,1.255768798025175e-10,1.0000152938448106,2.7586387401859767e-13,9.772285315720987e-12
2,2,1.0,0.7853981633974483,20,7.436888850615606e-11,1.0000025116208962,6.535238320014118e-14,2.387653811050319e-13
2,2,1.0,0.7853981633974483,21,4.557380883300384e-11,0.9999938017910788,1.5386466036377232e-14,3.749257117003965e-13
2,2,1.0,0.7853981633974483,22,7.183172377145262e-11,0.9999941606343118,3.5816790556928254e-15,3.0918833487331106e-13
2,2,1.0,0.7853981633974483,23,1.0800973192922651e-08,0.9999979829266594,8.425870301328401e-16,3.4173513869667764e-14
2,2,1.0,0.7853981633974483,24,2.1616853052223555e-10,1.0000003771625907,1.8882420103556671e-16,3.900447252837332e-15
2,2,1.0,0.7853981633974483,25,3.7109418230548613e-10,1.0000008363146433,2.047808690850168e-16,1.771357092433206e-14
2,2,1.0,0.7853981633974483,26,3.9246091976767465e-09,1.000000614304577,3.2908579959589255e-17,8.981071413844931e-15
2,2,1.0,0.7853981633974483,27,2.83455322435173e-09,1.000000199671564,1.4445554654103504e-17,8.534993622097622e-16
2,2,1.0,0.7853981633974483,28,2.708832903693361e-09,0.9999998721227457,1.6782893268395605e-17,6.701494060721244e-17
2,2,1.0,0.7853981633974483,29,2.09819068343011e-09,0.9999997846771963,9.5895081500497e-18,2.654657107929937e-16
2,2,1.0,0.7853981633974483,30,1.2567531460534925e-08,1.0000000051865605,2.974048483095606e-18,4.98286811503476e-16
2,2,1.0,0.7853981633974483,31,2.4296312664436412e-08,0.9999998577793389,5.24962731131266e-19,8.055138737217322e-17
2,2,1.0,0.7853981633974483,32,7.916805971583601e-09,1.0000000056666671,7.314212217602139e-19,1.083987881008065e-21
2,2,1.0,0.7853981633974483,33,1.168879212511996e-08,1.0000000058333507,3.104525678173036e-19,7.265992881846218e-17
2,2,1.0,0.7853981633974483,34,7.509897544838322e-09,1.000000060744248,1.921635688731127e-19,5.300774866437019e-17
2,2,1.0,0.7853981633974483,35,1.8791487870456554e-08,1.0000000061666714,1.5342783816059666e-19,1.8637241123017994e-17
2,2,1.0,0.7853981633974483,36,2.8067112140798225e-08,1.0000000063333339,1.3946006633702624e-19,3.593749036963183e-17
2,2,1.0,0.7853981633974483,37,4.685068326246063e-08,1.000000010249013,1.341844117877396e-19,3.2355568774657234e-18
