seed,method,block,w2
6,std,19,0.04465582221746445
6,acc,19,0.04171852767467499
6,std,20,0.03547614440321922
6,acc,20,0.032533638179302216
6,std,21,0.04713517799973488
6,acc,21,0.04263092949986458
6,std,22,0.0399075523018837
6,acc,22,0.036238666623830795
6,std,23,0.03993361070752144
6,acc,23,0.03650103136897087
6,std,24,0.05423309653997421
6,acc,24,0.04987340793013573
6,std,25,0.05088366940617561
6,acc,25,0.047499679028987885
7,std,0,1.0377719402313232
7,acc,0,1.0377719402313232
7,std,1,0.10820990055799484
7,acc,1,0.10820990055799484
7,std,2,0.03451516851782799
7,acc,2,0.03451516851782799
7,std,3,0.0291293952614069
7,acc,3,0.028711941093206406
7,std,4,0.029845545068383217
7,acc,4,0.03012169525027275
7,std,5,0.02996494062244892
7,acc,5,0.029923932626843452
7,std,6,0.026516083627939224
7,acc,6,0.027362659573554993
7,std,7,0.03552870452404022
7,acc,7,0.037344083189964294
7,std,8,0.02736769989132881
7,acc,8,0.027835248038172722
7,std,9,0.02890964224934578
7,acc,9,0.030789624899625778
7,std,10,0.026256022974848747
7,acc,10,0.027190107852220535
7,std,11,0.028893571346998215
7,acc,11,0.029878392815589905
7,std,12,0.030605776235461235
7,acc,12,0.03217018023133278
7,std,13,0.02440071664750576
7,acc,13,0.02486533299088478
7,std,14,0.038979530334472656
7,acc,14,0.040498387068510056
7,std,15,0.03070910833775997
7,acc,15,0.03170130401849747
7,std,16,0.03646327182650566
7,acc,16,0.03813093528151512
7,std,17,0.026888519525527954
7,acc,17,0.029059596359729767
7,std,18,0.03573398292064667
7,acc,18,0.0378408282995224
7,std,19,0.02675097994506359
7,acc,19,0.028824321925640106
7,std,20,0.02567453496158123
7,acc,20,0.02704412117600441
7,std,21,0.02598445862531662
7,acc,21,0.02756403759121895
7,std,22,0.02347349375486374
7,acc,22,0.024214521050453186
7,std,23,0.029518146067857742
7,acc,23,0.03127557411789894
7,std,24,0.02879858762025833
7,acc,24,0.03020201064646244
7,std,25,0.029020540416240692
7,acc,25,0.03036338835954666
8,std,0,1.039925456047058
8,acc,0,1.039925456047058
8,std,1,0.10574320703744888
8,acc,1,0.10574320703744888
8,std,2,0.03036773018538952
8,acc,2,0.03036773018538952
8,std,3,0.021529948338866234
8,acc,3,0.020953966304659843
8,std,4,0.024311866611242294
8,acc,4,0.023990394547581673
8,std,5,0.02566279098391533
8,acc,5,0.02529149129986763
8,std,6,0.02343401499092579
8,acc,6,0.024111412465572357
8,std,7,0.024781113490462303
8,acc,7,0.024738112464547157
8,std,8,0.021172817796468735
8,acc,8,0.021366871893405914
8,std,9,0.022656196728348732
8,acc,9,0.022374359890818596
8,std,10,0.024201804772019386
8,acc,10,0.024929871782660484
8,std,11,0.023992840200662613
8,acc,11,0.02516249567270279
8,std,12,0.020950259640812874
8,acc,12,0.020480865612626076
8,std,13,0.023005809634923935
8,acc,13,0.022451208904385567
8,std,14,0.023153651505708694
8,acc,14,0.02379889227449894
8,std,15,0.020362848415970802
8,acc,15,0.02070031873881817
8,std,16,0.021229667589068413
8,acc,16,0.0220881886780262
8,std,17,0.029144760221242905
8,acc,17,0.029124269261956215
8,std,18,0.02128293178975582
8,acc,18,0.020867319777607918
8,std,19,0.024495890364050865
8,acc,19,0.0246206633746624
8,std,20,0.023233043029904366
8,acc,20,0.02415517345070839
8,std,21,0.021323010325431824
8,acc,21,0.021881600841879845
8,std,22,0.02382013015449047
8,acc,22,0.02416621707379818
8,std,23,0.022140176966786385
8,acc,23,0.021758148446679115
8,std,24,0.02010895498096943
8,acc,24,0.020654479041695595
8,std,25,0.024382788687944412
8,acc,25,0.024774223566055298
9,std,0,1.0410394668579102
9,acc,0,1.0410394668579102
9,std,1,0.10586333274841309
9,acc,1,0.10586333274841309
9,std,2,0.03146112337708473
9,acc,2,0.03146112337708473
9,std,3,0.023685825988650322
9,acc,3,0.022707415744662285
9,std,4,0.024988213554024696
9,acc,4,0.02402852661907673
9,std,5,0.02586793154478073
9,acc,5,0.025481099262833595
9,std,6,0.02434276044368744
9,acc,6,0.023102018982172012
9,std,7,0.021716676652431488
9,acc,7,0.020920783281326294
9,std,8,0.03429604321718216
9,acc,8,0.03289678692817688
9,std,9,0.024720385670661926
9,acc,9,0.02419953979551792
9,std,10,0.025327494367957115
9,acc,10,0.024594733491539955
9,std,11,0.025625750422477722
9,acc,11,0.02355462685227394
9,std,12,0.02394876629114151
9,acc,12,0.022107578814029694
9,std,13,0.025551315397024155
9,acc,13,0.02481156773865223
