arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,2,10,std,34,8.459429261220563e-05,14.985988913715078,0.0,0.22097323375947914,,,,
quantile-1d,1,2,10,acc,13,3.219802882892253e-05,14.985988913715078,0.8695712350331671,,0.0,2.1572309561549715e-16,,
quantile-1d,1,2,11,std,31,8.243634294702318e-05,6.18208710927794,0.0,0.21855651047062455,,,,
quantile-1d,1,2,11,acc,12,9.978450743930445e-05,6.18208710927794,0.8445272611050091,,0.0,1.1250927754782542e-16,,
quantile-1d,1,2,12,std,31,8.664314638018311e-05,6.86250124842438,0.0,0.21882418660401523,,,,
quantile-1d,1,2,12,acc,12,7.54321996567775e-05,6.86250124842438,0.872619550625192,,0.0,2.1762003323202078e-16,,
quantile-1d,1,2,13,std,34,9.519500570753792e-05,13.183903498432628,0.0,0.22049607233125953,,,,
quantile-1d,1,2,13,acc,13,2.7130760720917024e-05,13.183903498432628,0.5163098277455114,,0.0,1.1254887350205843e-16,,
quantile-1d,1,2,14,std,34,9.973079908109916e-05,13.723815247777832,0.0,0.22073941006785094,,,,
quantile-1d,1,2,14,acc,13,3.001891762588471e-05,13.723815247777832,0.7351012862978417,,0.0,2.1596584484297415e-16,,
quantile-1d,1,2,15,std,33,8.740248555660912e-05,11.656020321380142,0.0,0.22005429953795014,,,,
quantile-1d,1,2,15,acc,13,2.4163872182958457e-05,11.656020321380142,0.6879793545175573,,0.0,2.1637012953884018e-16,,
quantile-1d,1,2,16,std,33,8.619780376029063e-05,11.105297237166662,0.0,0.21994571130641605,,,,
quantile-1d,1,2,16,acc,13,2.4747051264206732e-05,11.105297237166662,0.9892978690248858,,0.0,2.1653714355242746e-16,,
quantile-1d,1,2,17,std,34,8.207853094299722e-05,14.166008777323752,0.0,0.22076424797979144,,,,
quantile-1d,1,2,17,acc,13,3.133143853428777e-05,14.166008777323752,0.966998096892044,,0.0,1.125463779682874e-16,,
quantile-1d,1,2,18,std,32,8.808012964722778e-05,8.817167401047488,0.0,0.2193041937722265,,,,
quantile-1d,1,2,18,acc,12,1.7926499307430177e-05,8.817167401047488,1.1827697017046492,,0.0,1.1255540827864312e-16,,
quantile-1d,1,2,19,std,32,8.560343849262075e-05,8.68978241386231,0.0,0.21926828642044402,,,,
quantile-1d,1,2,19,acc,12,9.551728329770803e-05,8.68978241386231,0.914307475858536,,0.0,1.1252314968700667e-16,,
quantile-1d,1,2,20,std,32,8.242184555196097e-05,7.946888923740074,0.0,0.2190486205908518,,,,
quantile-1d,1,2,20,acc,12,9.53161624841492e-05,7.946888923740074,1.4170734438233445,,0.0,1.1252320145721793e-16,,
quantile-1d,1,2,21,std,34,9.469881730761465e-05,12.861871694072574,0.0,0.22044208378056832,,,,
quantile-1d,1,2,21,acc,13,2.7568234395758395e-05,12.861871694072574,0.5141194077077202,,0.0,1.1254862600357349e-16,,
quantile-1d,1,2,22,std,33,9.609082462902485e-05,9.391745430432945,0.0,0.2195455218206053,,,,
quantile-1d,1,2,22,acc,13,2.187836740352722e-05,9.391745430432945,0.5825969215933231,,0.0,1.125525178040276e-16,,
quantile-1d,1,2,23,std,33,9.000374568390868e-05,11.980155938188743,0.0,0.2201746099914319,,,,
quantile-1d,1,2,23,acc,13,2.5654523376550387e-05,11.980155938188743,0.6187975610185166,,0.0,2.1888782764909638e-16,,
quantile-1d,1,2,24,std,32,8.842359081451256e-05,8.608565777756498,0.0,0.21926140753978604,,,,
quantile-1d,1,2,24,acc,12,1.890725278719252e-05,8.608565777756498,1.2277638918391638,,0.0,1.1255469343885762e-16,,
quantile-1d,1,2,25,std,32,8.026896681689877e-05,7.37220501224974,0.0,0.21840839034936185,,,,
quantile-1d,1,2,25,acc,12,9.669016154489896e-05,7.37220501224974,0.3908444436210602,,0.0,1.125227485621449e-16,,
quantile-1d,1,2,26,std,33,8.475540760732869e-05,10.68929847392952,0.0,0.21985444084889733,,,,
quantile-1d,1,2,26,acc,13,2.4747051564855127e-05,10.68929847392952,1.0073403281278233,,0.0,2.1666743217151652e-16,,
quantile-1d,1,2,27,std,34,9.465244808271045e-05,12.602738023436086,0.0,0.22041879001844403,,,,
quantile-1d,1,2,27,acc,13,2.8296394233739974e-05,12.602738023436086,0.9373783123631871,,0.0,2.1876064816272812e-16,,
quantile-1d,1,2,28,std,34,9.424023444792873e-05,13.017468152312397,0.0,0.22044325811483031,,,,
quantile-1d,1,2,28,acc,13,2.6683298913088294e-05,13.017468152312397,0.38605599232801,,0.0,2.1608183288531028e-16,,
quantile-1d,1,2,29,std,30,8.947274058268562e-05,5.304678612558678,0.0,0.21832952608329598,,,,
quantile-1d,1,2,29,acc,12,7.822818200375892e-05,5.304678612558678,0.8089180293507807,,0.0,2.183376383811935e-16,,
quantile-1d,1,2,30,std,32,9.814818693176797e-05,7.50160835204001,0.0,0.21897535618210653,,,,
quantile-1d,1,2,30,acc,12,9.09217128504114e-05,7.50160835204001,0.667372210340921,,0.0,1.1252460424048382e-16,,
quantile-1d,1,2,31,std,34,8.426803331729182e-05,14.776688829145419,0.0,0.22094241540398155,,,,
